Feature,Importance
Recency,0.0399200001721308
Campaign_Accept_Rate,0.03910814256200853
Customer_Tenure_Days,0.0368321244157144
Spend_per_Capita,0.034665953575836454
Past_Accepted,0.032724213711868344
Ever_Accepted_Past,0.03153428555744539
Tenure_Months,0.028940897978258145
Store_Share,0.028916169212314897
Income_per_Capita,0.028031189748855358
Meat_Share,0.02428433300224869
R_score,0.0237584622570916
Age_x_WebShare,0.021277192410952415
Frequency_pm,0.021147459241387986
Gold_Share,0.020672125919813076
Total_Spent,0.020113824653448506
Avg_Spend_per_Purchase,0.019902246231930768
log_Income,0.01918318573689528
Web_Share,0.01897533449219694
Income,0.01846214150947922
Spending_Ratio,0.018428824492761266
Category_Concentration,0.017569070069051326
log_Monetary,0.017138770816248657
Wines,0.01696068730369531
Wines_Share,0.016921805924922456
Catalog_Share,0.016477671124690802
Deals_Share,0.016476994280736693
Fruits_Share,0.01646787860277807
Gold,0.01637978015167993
Premium_Tilt,0.016253483899535636
log_Total_Spent,0.016148385554510515
Monetary,0.01593341586976084
Meat,0.015763068008895462
Sweets_Share,0.014607934404377283
Age,0.014442303955130685
Income_x_HasPartner,0.013442287074446512
NumWebVisitsMonth,0.012881406178092242
Fruits,0.012657836846665695
Fish,0.0126096838184752
Fish_Share,0.012591945934456865
Sweets,0.011965513933242094
NumStorePurchases,0.011924374045415131
AcceptedCmp3,0.011747910201793483
AcceptedCmp5,0.011545129083355614
RFM_Total,0.010476787779404551
Family_Size,0.010019530016794724
Total_Purchases,0.009271773078059025
F_score,0.009086123083786006
AcceptedCmp1,0.008807309242133174
NumWebPurchases,0.008652899026177689
NumDealsPurchases,0.008638664576595005
Recency_Bin_0-30 (Hot),0.008436370867532626
NumCatalogPurchases,0.008410500978483839
M_score,0.0053454967427438715
Has_Partner,0.004367429150455189
Recency_Bin_31-90 (Warm),0.004274842774047588
Education_PhD,0.004118951920990718
Dependency_Ratio,0.004042488038964947
Income_q,0.0036584327060197822
Children_Home,0.003613142065287675
Num_Categories_Active,0.0033941857476432204
Education_Graduation,0.002983937278813221
Education_Master,0.002659955816588535
Age_Bin_30-44,0.002584843239313298
Age_Bin_45-59,0.0024121430457695273
AcceptedCmp4,0.0019038776810829658
Age_Bin_60+,0.00159293781968865
Age_Bin_18-29,0.0014516852696130989
AcceptedCmp2,0.0013321552765923341
Education_2n Cycle,0.001293463240007446
Recency_Bin_>90 (Cold),0.0008908232208880245
Complain,0.00025569630533939084
Education_Basic,0.000238110046589385
